iteration,fitness,machines running,fitness,walkingpath
3,40.856500000000004,1,length,"[[0, 1, 2, 3, 4, 3, 4, 3, 9, 16, 19, 22, 19, 15, 18, 21, 20, 17, 12, 17, 20, 13, 12, 10, 12, 13, 14, 18, 21, 23, 22, 16, 9, 8, 7, 11, 14, 13, 20, 21, 23, 22, 16, 19, 15, 11, 7, 5, 6, 5, 7, 8, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
17,39.828499999999998,1,length,"[[0, 1, 2, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 14, 13, 20, 21, 23, 22, 16, 19, 15, 11, 7, 5, 6, 8, 7, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
31,36.895499999999991,1,length,"[[0, 1, 2, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 22, 23, 21, 18, 14, 13, 20, 21, 23, 21, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
69,36.489500000000007,1,length,"[[0, 1, 2, 3, 4, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 8, 7, 11, 14, 13, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 10, 12, 13, 20, 13, 14, 18, 15, 11, 7, 5, 6, 8, 7, 5, 6, 1, 2, 1, 0]]"
84,33.797500000000007,1,length,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 17, 12, 13, 14, 18, 21, 20, 21, 23, 22, 19, 15, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
1233,33.083500000000001,1,length,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 17, 12, 10, 12, 13, 20, 21, 18, 15, 19, 22, 23, 21, 18, 14, 13, 20, 21, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
1303,32.143499999999996,1,length,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 22, 23, 21, 18, 14, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
53871,31.433499999999999,1,length,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 13, 20, 21, 18, 15, 19, 22, 23, 21, 18, 14, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
169931,30.5275,1,length,"[[0, 1, 6, 8, 7, 11, 14, 13, 20, 21, 20, 17, 12, 10, 12, 13, 14, 18, 15, 19, 22, 23, 21, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
